sell 0.27 | sp 0.0000 | buy 0.17 | bp 0.0000 

sell 0.27 | sp 0.0000 | buy 0.17 | bp 0.0000
sell 0.07 | sp 0.0000 | buy 0.10 | bp 0.0000 

sell 0.07 | sp 0.0000 | buy 0.10 | bp 0.0000
sell -0.33 | sp 0.0000 | buy -0.43 | bp 0.0000 

sell 0.03 | sp 0.0333 | buy 0.03 | bp 0.0000
sell 0.07 | sp -0.0333 | buy 0.10 | bp 0.0000 

sell 0.07 | sp -0.0333 | buy 0.10 | bp 0.0000
sell 0.17 | sp 0.0000 | buy 0.13 | bp 0.0000 

sell 0.17 | sp 0.0000 | buy 0.13 | bp 0.0000
sell -0.20 | sp 0.1000 | buy 3.17 | bp 0.4333 

sell -0.10 | sp 0.0000 | buy 0.07 | bp 0.0000
sell 1.37 | sp 0.0000 | buy 1.17 | bp 0.0000 

sell 1.37 | sp 0.0000 | buy 1.17 | bp 0.0000
sell -1.50 | sp 0.0000 | buy -1.47 | bp 0.0000 

sell -1.50 | sp 0.0000 | buy -1.47 | bp 0.0000
sell 0.03 | sp 0.0000 | buy 0.07 | bp 0.0000 

sell 0.03 | sp 0.0000 | buy 0.07 | bp 0.0000
sell 0.13 | sp 0.0000 | buy 0.10 | bp 0.0000 

sell 0.13 | sp 0.0000 | buy 0.10 | bp 0.0000
sell -0.20 | sp 0.0000 | buy -0.10 | bp 0.0000 

sell -0.20 | sp 0.0000 | buy -0.10 | bp 0.0000
sell 0.40 | sp 0.0000 | buy 0.33 | bp 0.0000 

sell 0.40 | sp 0.0000 | buy 0.33 | bp 0.0000
sell -0.20 | sp 0.0000 | buy -0.03 | bp 0.0000 

sell -0.20 | sp 0.0000 | buy -0.03 | bp 0.0000
sell -0.23 | sp 0.0000 | buy -0.43 | bp 0.0000 

sell -0.23 | sp 0.0000 | buy -0.43 | bp 0.0000
sell 0.03 | sp 0.0000 | buy 0.13 | bp 0.0333 

sell 0.03 | sp 0.0000 | buy 0.13 | bp 0.0333
sell 0.03 | sp 0.0000 | buy -0.03 | bp -0.0333 

sell -0.10 | sp 0.0000 | buy 0.00 | bp 0.0000
sell 0.07 | sp 0.0000 | buy 0.10 | bp 0.0000 

sell 0.07 | sp 0.0000 | buy 0.10 | bp 0.0000
sell 1.27 | sp 0.3000 | buy 4.30 | bp 0.4000 

sell 1.27 | sp 0.3000 | buy 4.30 | bp 0.4000
sell -1.27 | sp -0.3000 | buy -3.97 | bp -0.4000 

sell -1.27 | sp -0.3000 | buy -3.97 | bp -0.4000
sell 0.00 | sp 0.2000 | buy -0.40 | bp 0.0000 

sell 0.00 | sp 0.2000 | buy -0.40 | bp 0.0000
sell -0.03 | sp -0.2000 | buy 0.00 | bp 0.0000 

sell -0.03 | sp -0.2000 | buy 0.00 | bp 0.0000
sell 0.33 | sp 0.1000 | buy 0.10 | bp 0.0000 

sell 0.33 | sp 0.1000 | buy 0.10 | bp 0.0000
sell -0.10 | sp -0.0333 | buy 0.27 | bp 0.0000 

sell -0.03 | sp -0.0333 | buy -0.10 | bp -0.0333
sell 0.67 | sp 0.4333 | buy -0.20 | bp 0.0000 

sell 0.67 | sp 0.4333 | buy -0.20 | bp 0.0000
sell -0.50 | sp 0.0000 | buy 0.13 | bp 0.0000 

sell -0.50 | sp 0.0000 | buy 0.13 | bp 0.0000
sell -0.30 | sp -0.4333 | buy -0.03 | bp 0.0000 

sell -0.30 | sp -0.4333 | buy -0.03 | bp 0.0000
